prefix,origin_asn
41.77.100.0/23,37515
41.77.100.0/24,37515
41.77.101.0/24,37515
41.77.102.0/23,37515
41.77.222.0/24,37483
41.78.57.0/24,37440
41.78.58.0/23,37440
41.78.72.0/24,37371
41.78.73.0/24,37371
41.78.74.0/24,37371
41.78.75.0/24,37371
41.78.76.0/22,37184
41.78.76.0/24,37184
41.78.78.0/24,37184
41.78.116.0/24,37205
41.78.118.0/24,37205
41.78.119.0/24,37205
41.78.156.0/22,37249
41.78.174.0/24,36920
41.79.8.0/22,37305
41.79.8.0/24,37305
41.79.9.0/24,37305
41.79.10.0/24,37305
41.79.11.0/24,37305
41.79.20.0/22,37314
41.79.20.0/24,37314
41.79.21.0/24,37314
41.79.22.0/24,37314
41.79.36.0/22,37053
41.79.44.0/22,37336
41.79.44.0/23,37336
41.79.44.0/24,37336
41.79.45.0/24,37336
41.79.46.0/23,37336
41.79.46.0/24,37336
41.79.47.0/24,37336
41.79.56.0/22,327770
41.79.58.0/24,327770
41.79.59.0/24,327770
41.79.68.0/22,37349
41.79.108.0/22,37105
41.79.116.0/24,37377
41.79.119.0/24,37377
41.79.156.0/22,37053
41.79.188.0/22,37184
41.79.188.0/24,37184
41.79.189.0/24,37184
41.79.190.0/24,37184
41.79.191.0/24,37184
41.79.224.0/22,37545
41.79.224.0/23,37545
41.79.224.0/24,37545
41.79.225.0/24,37545
41.79.226.0/23,37545
41.79.226.0/24,37545
41.79.227.0/24,37545
41.79.240.0/22,37236
41.80.0.0/15,33771
41.80.0.0/16,33771
41.81.0.0/16,33771
41.84.192.0/19,37273
41.84.192.0/22,37273
41.84.196.0/22,37273
41.84.199.0/24,37273
41.84.200.0/22,37273
41.84.204.0/22,37273
41.84.208.0/22,37273
41.84.210.0/23,37273
41.84.213.0/24,37273
41.85.192.0/19,37183
41.85.192.0/23,37183
41.85.194.0/23,37183
41.85.196.0/23,37183
41.85.196.0/24,37183
41.85.197.0/24,37183
41.85.198.0/23,37183
41.85.202.0/23,37183
41.85.204.0/23,37183
41.85.206.0/23,37183
41.85.208.0/23,37183
41.85.212.0/23,37183
41.85.216.0/23,37183
41.85.218.0/23,37183
41.85.220.0/23,37183
41.86.32.0/19,36958
41.86.32.0/24,36958
41.86.36.0/24,36958
41.86.39.0/24,36958
41.86.40.0/24,36958
41.86.41.0/24,36958
41.86.44.0/24,36958
41.86.46.0/24,36958
41.86.47.0/24,36958
41.86.48.0/24,36958
41.86.50.0/24,36958
41.86.53.0/24,36958
41.86.54.0/23,36958
41.86.56.0/24,36958
41.86.57.0/24,36958
41.87.192.0/19,37315
41.87.192.0/22,37315
41.87.196.0/23,37315
41.87.198.0/23,37315
41.87.200.0/23,37315
41.87.202.0/23,37315
41.87.204.0/22,37315
41.87.208.0/23,37315
41.87.210.0/24,37315
41.87.211.0/24,37315
41.87.212.0/23,37315
41.87.214.0/23,37315
41.87.216.0/22,37315
41.87.220.0/23,37315
41.87.222.0/23,37315
41.89.0.0/16,36914
41.89.0.0/18,36914
41.89.0.0/23,36914
41.89.0.0/24,36914
41.89.1.0/24,36914
41.89.2.0/23,36914
41.89.4.0/23,36914
41.89.8.0/23,36914
41.89.10.0/23,36914
41.89.16.0/24,36914
41.89.17.0/24,36914
41.89.18.0/23,36914
41.89.20.0/23,36914
41.89.22.0/24,36914
41.89.24.0/24,36914
41.89.25.0/24,36914
41.89.26.0/24,36914
41.89.27.0/24,36914
41.89.28.0/24,36914
41.89.29.0/24,36914
41.89.30.0/24,36914
41.89.31.0/24,36914
41.89.32.0/24,36914
41.89.33.0/24,36914
41.89.34.0/24,36914
41.89.35.0/24,36914
41.89.36.0/24,36914
41.89.37.0/24,36914
41.89.38.0/24,36914
41.89.40.0/24,36914
41.89.41.0/24,36914
41.89.42.0/24,36914
41.89.43.0/24,36914
41.89.44.0/24,36914
41.89.45.0/24,36914
41.89.46.0/24,36914
41.89.47.0/24,36914
41.89.48.0/24,36914
41.89.49.0/24,36914
41.89.50.0/24,36914
41.89.51.0/24,36914
41.89.52.0/24,36914
41.89.53.0/24,36914
41.89.54.0/24,36914
41.89.55.0/24,36914
41.89.56.0/24,36914
41.89.57.0/24,36914
41.89.58.0/23,36914
41.89.60.0/24,36914
41.89.61.0/24,36914
41.89.62.0/24,36914
41.89.63.0/24,36914
41.89.64.0/19,36914
41.89.96.0/23,36914
41.89.96.0/24,36914
41.89.97.0/24,36914
41.89.98.0/24,36914
41.89.99.0/24,36914
41.89.100.0/24,36914
41.89.101.0/24,36914
41.89.102.0/24,36914
41.89.103.0/24,36914
41.89.104.0/24,36914
41.89.105.0/24,36914
41.89.106.0/24,36914
41.89.107.0/24,36914
41.89.108.0/24,36914
41.89.109.0/24,36914
41.89.110.0/24,36914
41.89.112.0/24,36914
41.89.113.0/24,36914
41.89.114.0/24,36914
41.89.115.0/24,36914
41.89.116.0/24,36914
41.89.117.0/24,36914
41.89.118.0/24,36914
41.89.128.0/19,36914
41.89.128.0/24,36914
41.89.129.0/24,36914
41.89.130.0/24,36914
41.89.131.0/24,36914
41.89.132.0/24,36914
41.89.133.0/24,36914
41.89.134.0/24,36914
41.89.136.0/23,36914
41.89.138.0/24,36914
41.89.139.0/24,36914
41.89.140.0/24,36914
41.89.141.0/24,36914
41.89.142.0/24,36914
41.89.144.0/24,36914
41.89.145.0/24,36914
41.89.160.0/19,36914
41.89.160.0/24,36914
41.89.162.0/24,36914
41.89.163.0/24,36914
41.89.164.0/24,36914
41.89.165.0/24,36914
41.89.166.0/24,36914
41.89.167.0/24,36914
41.89.169.0/24,36914
41.89.170.0/24,36914
41.89.171.0/24,36914
41.89.172.0/24,36914
41.89.173.0/24,36914
41.89.174.0/24,36914
41.89.175.0/24,36914
41.89.176.0/24,36914
41.89.178.0/24,36914
41.89.179.0/24,36914
41.89.180.0/24,36914
41.89.181.0/24,36914
41.89.182.0/24,36914
41.89.183.0/24,36914
41.89.192.0/18,36914
41.89.192.0/19,36914
41.89.192.0/23,36914
41.89.194.0/24,36914
41.89.195.0/24,36914
41.89.196.0/24,36914
41.89.197.0/24,36914
41.89.198.0/24,36914
41.89.200.0/24,36914
41.89.201.0/24,36914
41.89.203.0/24,36914
41.89.204.0/24,36914
41.89.205.0/24,36914
41.89.207.0/24,36914
41.89.211.0/24,36914
41.89.212.0/24,36914
41.89.213.0/24,36914
41.89.216.0/24,36914
41.89.217.0/24,36914
41.89.218.0/24,36914
41.89.220.0/24,36914
41.89.221.0/24,36914
41.89.222.0/24,36914
41.89.223.0/24,36914
41.89.224.0/19,36914
41.89.224.0/23,36914
41.89.226.0/24,36914
41.89.227.0/24,36914
41.89.229.0/24,36914
41.89.230.0/24,36914
41.89.231.0/24,36914
41.89.232.0/24,36914
41.89.233.0/24,36914
41.89.234.0/24,36914
41.89.235.0/24,36914
41.89.236.0/24,36914
41.89.238.0/24,36914
41.89.239.0/24,36914
41.89.240.0/24,36914
41.89.241.0/24,36914
41.89.242.0/24,36914
41.89.243.0/24,36914
41.89.244.0/24,36914
41.89.245.0/24,36914
41.89.246.0/24,36914
41.89.247.0/24,36914
41.89.248.0/24,36914
41.89.249.0/24,36914
41.89.250.0/24,36914
41.89.251.0/24,36914
41.89.252.0/24,36914
41.89.253.0/24,36914
41.89.254.0/24,36914
41.89.255.0/24,36914
41.90.0.0/17,33771
41.90.4.0/23,33771
41.90.6.0/23,33771
41.90.32.0/19,33771
41.90.32.0/24,37061
41.90.33.0/24,37061
41.90.34.0/24,37061
41.90.35.0/24,37061
41.90.36.0/24,37061
41.90.37.0/24,37061
41.90.38.0/24,37061
41.90.39.0/24,37061
41.90.40.0/24,37061
41.90.41.0/24,37061
41.90.42.0/24,37061
41.90.43.0/24,37061
41.90.44.0/24,37061
41.90.45.0/24,37061
41.90.46.0/24,37061
41.90.47.0/24,37061
41.90.48.0/24,37061
41.90.49.0/24,37061
41.90.50.0/24,37061
41.90.51.0/24,37061
41.90.52.0/24,37061
41.90.53.0/24,37061
41.90.54.0/24,37061
41.90.55.0/24,37061
41.90.56.0/24,37061
41.90.57.0/24,37061
41.90.58.0/24,37061
41.90.59.0/24,37061
41.90.60.0/24,37061
41.90.61.0/24,37061
41.90.62.0/24,37061
41.90.63.0/24,37061
41.90.65.0/24,37061
41.90.66.0/24,37061
41.90.67.0/24,37061
41.90.68.0/24,37061
41.90.69.0/24,37061
41.90.70.0/24,37061
41.90.71.0/24,37061
41.90.72.0/24,37061
41.90.73.0/24,37061
41.90.74.0/24,37061
41.90.75.0/24,37061
41.90.80.0/21,37061
41.90.81.0/24,37061
41.90.88.0/22,37061
41.90.92.0/24,37061
41.90.93.0/24,37061
41.90.94.0/24,37061
41.90.95.0/24,37061
41.90.128.0/17,33771
41.90.128.0/18,37061
41.90.128.0/20,37061
41.90.144.0/20,37061
41.90.160.0/20,37061
41.90.176.0/20,37061
41.90.192.0/18,37061
41.94.1.0/24,327700
41.94.8.0/24,327700
41.94.10.0/24,327700
41.94.12.0/24,327700
41.94.16.0/24,327700
41.94.20.0/24,327700
41.94.26.0/24,327700
41.94.28.0/24,327700
41.94.33.0/24,327700
41.94.36.0/24,327700
41.94.40.0/24,327700
41.94.42.0/24,327700
41.94.44.0/24,327700
41.94.50.0/24,327700
41.94.53.0/24,327700
41.94.56.0/24,327700
41.94.59.0/24,327700
41.94.62.0/24,327700
41.94.68.0/24,327700
41.94.83.0/24,327700
41.94.89.0/24,327700
41.94.92.0/24,327700
41.94.95.0/24,327700
41.94.97.0/24,327700
41.94.100.0/24,327700
41.94.101.0/24,327700
41.94.103.0/24,327700
41.94.104.0/24,327700
41.94.105.0/24,327700
41.94.106.0/24,327700
41.94.107.0/24,327700
41.94.109.0/24,327700
41.138.72.0/21,36963
41.138.76.0/24,36963
41.138.80.0/21,37124
41.138.86.0/24,37124
41.138.96.0/19,25543
41.138.96.0/20,25543
41.138.96.0/21,25543
41.138.100.0/22,25543
41.138.164.0/24,20598
41.138.165.0/24,20598
41.138.167.0/24,20598
41.138.168.0/24,20598
41.138.169.0/24,20598
41.138.170.0/24,20598
41.139.128.0/17,37061
41.139.128.0/19,37061
